PO,Debit Amount,Count
PO100,22409.175,1
PO10021,16228.8,1
PO10022,4909.75,1
PO10026,9234,1
PO10031,13760.262,1
PO10035,11868,1
PO10036,10458,1
PO10037,63439.6,1
PO10038,64164.24,1
PO10039,64164.24,1
PO10041,6225.6,1
PO10042,9887.4,1
PO10043,195948.5,1
PO10044,9101,1
PO10045,1197.5,1
PO10046,20520.96,1
PO10047,398000,1
PO10048,63291,1
PO10049,7222.5,1
PO10050,1798.038,1
PO10051,4283.072,1
PO10052,2940,1
PO10053,3840,1
PO10054,4320,1
PO10059,5304,1
PO1006,4160,1
PO10060,326.8,1
PO10061,5145.5,1
PO10062,16063,1
PO10063,10045.5,1
PO10064,33988.56,1
PO10065,47025,1
PO10073,29406,1
PO10078,7728,1
PO10083,50376,1
PO10084,29139.754,1
PO10085,12641.22,1
PO10086,6431.671,1
PO10088,56259.383,1
PO10089,1170.301,1
PO10090,9074.404,1
PO10092,9220.516,1
PO10093,3432.82,1
PO10094,20032.815,1
PO10095,75033.151,1
PO10096,4614.477,1
PO10097,1589.742,1
PO10098,80967.1,1
PO10099,3148.405,1
PO101,2110,1
PO10100,4275.093,1
PO10101,2046.35,1
PO10102,112048.131,1
PO10103,110095.319,1
PO10106,1544.785,1
PO10108,11884.507,1
PO10109,11155,1
PO10110,5338.2,1
PO10112,1841.7,1
PO10113,40656,1
PO10124,238684.16,1
PO10125,132390.1,1
PO10126,9102.24,1
PO10127,17269.5,1
PO10128,134526.72,1
PO10129,44775.511,1
PO10130,35232,1
PO10131,63214.623,1
PO10132,13257.677,1
PO10133,34766.68,1
PO10134,7370,1
PO10142,80550,1
PO10143,88090,1
PO10145,57741,1
PO10146,117993.83,1
PO10148,8354.574,1
PO10149,3420,1
PO102,3062.5,1
PO1022,487613.14,1
PO1024,95833.6,1
PO1027,28967.72,1
PO1028,2400,1
PO1029,100,1
PO103,6947.5,1
PO1030,211.2,1
PO1031,4137.084,1
PO1033,12471.121,1
PO10333,50978.54,1
PO10334,158768.56,1
PO10344,6209.28,1
PO1035,9583.574,1
PO10351,16279.462,1
PO10353,5421.123,1
PO10354,3061.39,1
PO10355,60143.802,1
PO10357,27988.166,1
PO10360,22527.694,1
PO10362,10075,1
PO10363,14059,1
PO10365,9485.655,1
PO1042,65314,1
PO1043,72346,1
PO1047,9810,1
PO1048,97689.76,1
PO1049,10800,1
PO10491,266674.528,1
PO10492,35569.222,1
PO10493,32150,1
PO10494,49220.673,1
PO10496,34360,1
PO10497,116160,1
PO10498,45462.08,1
PO10499,15178,1
PO1050,4800,1
PO10500,91734.4,1
PO10501,5997.6,1
PO10503,8862.88,1
PO10504,75112.8,1
PO10505,255649.2,1
PO10506,35354.032,1
PO1051,85123.5,1
PO1052,22605,1
PO10524,20057.5,1
PO10529,164104.803,1
