As Of Date,Coordinator,Brand,Whse Internal ID,Warehouse,Seller Account,Amazon Store Name,Supplier,Status,PO #,Memo,Date Entered,ESTIMATED READY DATE,PO Line No.,ASIN,SKU,Assembly SKU,Description,Quantity,Cost in USD,Cost in PO Currency,Currency,Estimated Ready Date / ERD,Early Pickup date,Late Pickup Date,Earliest Delivery Date,LATEST DELIVERY DATE,Quantity Received,Quantity on Inbound Shipments,Supplier Shipping Country Code,Supplier Billing Country Code,Supplier Ship From Country Code (From PO),Closed,Custom Form,XPO Integration Status,Outbound Doc Sent to XPO Connect,Send to XPO Connect,ID,Destination Type,INCOTERM,ARN#,FBA Shipment ID#,3PL FCID#
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,1,,AOR-OsCost-CACITRUS24OZ,AOR-PET-CITR-24OZx4,24oz PG Citrus Scent Labor Cost Canada,7000,2.32,2.32,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,2,,AOR-OsCost-4CT20OZ,AOR-PET-20OZ,20oz RTU 4ct US Labor SKU,15000,1.82,1.82,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,3,,AOR-OsCost-OdCon8-Lbr-1,AOR-PET-OdCon-8-AB,Odor Eliminator Concentrate 8oz Labor Component Part,17000,4.36,4.36,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,4,,AOR-OsCost-8CON,AOR-PET-8CONFRSH,8oz Concentrate Labor Cost,1440,1.67,1.67,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,5,,AOR-OsCost-RTU20OZ,AOR-PET-RTU-20OZFG,20oz BR RTU Labor Cost US,6000,1.75,1.75,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2110,"Sealpak Associates, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"R&D Printing, Inc.",Pending Receipt,PO66909,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 22:20,,1,N/A,SST-Film-MM-US-V4,,MM WIpe Pouches - 2.5 x 3.5) - COMP,660000,0.03325,0.03325,USD,5/21/2025,5/22/2025,5/29/2025,5/30/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,R-US-00011,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2110,"Sealpak Associates, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"R&D Printing, Inc.",Pending Receipt,PO66909,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 22:20,,2,N/A,SST-Film-MM-US-V4,,MM WIpe Pouches - 2.5 x 3.5) - COMP,465000,0.03325,0.03325,USD,7/21/2025,7/22/2025,7/29/2025,7/30/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,R-US-00011,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Winshow Industrial Ltd,Pending Receipt,PO66908,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 21:09,,1,N/A,SLEEVE-MM-120ml-V4,,New Version August 21 Consolidated item 292540) - COMP,240000,0.0105,0.0105,USD,5/8/2025,5/9/2025,5/16/2025,5/17/2025,,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00030,3PL,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Winshow Industrial Ltd,Pending Receipt,PO66908,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 21:09,,2,N/A,SLEEVE-MM-120ml-V4,,New Version August 21 Consolidated item 292540) - COMP,300000,0.0105,0.0105,USD,5/15/2025,5/16/2025,5/23/2025,5/24/2025,,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00030,3PL,DAP,,,
4/17/2025 19:03,Lei Shi,,1234,Carrier to NA [Virtual],ChomChom US,ChomChom_US,Nippon Seal,Pending Receipt,PO66907,Mar OTB_25K reserve for Malaysia production,4/15/2025 23:34,,1,B00BAGTNAQ,CCR-PET-PtHrRmrRlr-1-MA,,Pet Hair Remover Roller,25920,3.8,3.8,USD,6/16/2025,6/17/2025,6/24/2025,6/25/2025,8/15/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,N-CN-00071,,FOB,,,
