Discount,Vendor Code,Vendor Name,Vendor,Payment Terms,Deposit Required,Prepay G,Prepay H,Net Days (Due post ERD)
,A-BZ-00001 ,Acrevi,A-BZ-00001 Acrevi,50/50 (Net 0),50%,100%,50%,0
,A-CN-00003 ,Alli Products,A-CN-00003 Alli Products,NET30,0%,0%,0%,30
,A-HK-00007,Alexon Electrical Products Ltd.,A-HK-00007 Alexon Electrical Products Ltd.,30-70 (Net 0),30%,100%,70%,0
,A-IN-00003,Ascent Meditech Limited,A-IN-00003 Ascent Meditech Limited,Net 30,0%,0%,0%,30
,A-TW-00001 ,Aplus,A-TW-00001 Aplus,30-70 (Net 0),30%,100%,70%,0
,A-TW-00002,All Best Product,A-TW-00002 All Best Product,30-70 (Net 0),30%,100%,70%,0
,A-TW-00003,"A'Striker Enterprise Co., Ltd.","A-TW-00003 A'Striker Enterprise Co., Ltd.",Net 30,0%,0%,0%,30
,A-US-00003,ADF Accessories,A-US-00003 ADF Accessories,30-70 (Net 0),30%,100%,70%,0
,A-US-00016 ,Accord Carton,A-US-00016 Accord Carton,NET 30,0%,0%,0%,30
,A-US-00026,Adams Mfg. Corp.,A-US-00026 Adams Mfg. Corp.,Net 60,0%,0%,0%,60
,A-US-00030 ,"Aire-Master of America, Inc.","A-US-00030 Aire-Master of America, Inc.",30-70 (Net 0),30%,100%,70%,0
,A-US-00032,"Ambrose Continental, LLC dba Hudson Associates","A-US-00032 Ambrose Continental, LLC dba Hudson Associates",30-70 (Net 0),30%,100%,70%,0
,A-VT-00001,An Phu Quy Import Export Trading Company Limited,A-VT-00001 An Phu Quy Import Export Trading Company Limited,30-70 (Net 0),30%,100%,70%,0
,B-CN-00012,Beeland,B-CN-00012 Beeland,30-70 (Net 0),30%,100%,70%,0
,B-CN-00013,"Bonet Houseware Co., LTD","B-CN-00013 Bonet Houseware Co., LTD",30-70 (Net 0),30%,100%,70%,0
,B-KH-00001 ,"Baozan Industrial Co., Limited","B-KH-00001 Baozan Industrial Co., Limited",NET 30,0%,0%,0%,30
,B-US-00016 ,Bormioli Rocco Glass Co. (GC),B-US-00016 Bormioli Rocco Glass Co. (GC),50/50 (Net 0),50%,100%,50%,0
,B-US-00017,Berlin Packaging LLC,B-US-00017 Berlin Packaging LLC,NET30,0%,0%,0%,30
,B-US-00022 ,"BHI / Bissell Better Life, LLC","B-US-00022 BHI / Bissell Better Life, LLC",Net 30,0%,0%,0%,30
,B-US-00023 ,Bay Converting Inc.,B-US-00023 Bay Converting Inc.,30/70 (Net 30),30%,30%,0%,30
,C-CN-00003 ,Caitang Boxing Hardware Factory,C-CN-00003 Caitang Boxing Hardware Factory,30/70 (Net 30),30%,30%,0%,30
,C-CN-00006 ,"Chang Chuan Enterprise Co., LTD.","C-CN-00006 Chang Chuan Enterprise Co., LTD.",40-60 (Net 0),40%,100%,60%,0
,C-CN-00010 ,"Changzhou Sulan Electronic Commerce Co., Ltd.","C-CN-00010 Changzhou Sulan Electronic Commerce Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,C-CN-00028 ,"CangNan TaiYon Gifts And Crafts Co.,Ltd","C-CN-00028 CangNan TaiYon Gifts And Crafts Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,C-CN-00030,Cooltex,C-CN-00030 Cooltex,Net 30,0%,0%,0%,30
,C-DE-00001 ,Creartour,C-DE-00001 Creartour,30/70,30%,100%,70%,0
,C-IN-00001 ,Creative Textile Mills Pvt. Ltd.,C-IN-00001 Creative Textile Mills Pvt. Ltd.,Net 0,0%,100%,0%,0
,C-US-00001,Chempace Corporation,C-US-00001 Chempace Corporation,NET 30,0%,0%,0%,30
,C-US-00019,Cathay Home Inc,C-US-00019 Cathay Home Inc,Net 30,0%,0%,0%,30
,C-US-00025 ,Custom Quest,C-US-00025 Custom Quest,PIA 50-50,50%,100%,50%,0
,C-US-00030,Consolidated Label Co.,C-US-00030 Consolidated Label Co.,30/70 (Net 30),30%,30%,0%,30
,C-US-00033 ,Cosmedx Bio LLC,C-US-00033 Cosmedx Bio LLC,Net 30,0%,0%,0%,30
,C-US-00034 ,"CMC Group, Inc. (Century Label)","C-US-00034 CMC Group, Inc. (Century Label)",Net 30,0%,0%,0%,30
,D-CN-00002 ,"DongGuan ShengYan Industrial Co., Ltd.,","D-CN-00002 DongGuan ShengYan Industrial Co., Ltd.,",30-70 (Net 0),30%,100%,70%,0
,D-CN-00027 ,Dongguan Yuda Garmets Factory,D-CN-00027 Dongguan Yuda Garmets Factory,30-70 (Net 0),30%,100%,70%,0
,D-CN-00035,Dongguan FEDI Model Technology Co,D-CN-00035 Dongguan FEDI Model Technology Co,30-70 (Net 0),30%,100%,70%,0
,D-CN-00040 ,"Dongguan Huixin Garment Accessories Co., Ltd.","D-CN-00040 Dongguan Huixin Garment Accessories Co., Ltd.",Net 30,0%,0%,0%,30
,D-CN-00041,"Dongtai Langsha Marine Equipment Co.,Ltd","D-CN-00041 Dongtai Langsha Marine Equipment Co.,Ltd",Net 30,0%,0%,0%,30
,D-CN-00042 ,"Dongguan Luli Industrial Co., Ltd","D-CN-00042 Dongguan Luli Industrial Co., Ltd",Net 60,0%,0%,0%,60
,D-IN-00001,Dewan & Sons,D-IN-00001 Dewan & Sons,Net 30,0%,0%,0%,30
,D-IN-00002 ,Dewan India,D-IN-00002 Dewan India,Net 30,0%,0%,0%,30
,D-PL-00001 ,Dary Natury" Sp. z o.o.,D-PL-00001 Dary Natury" Sp. z o.o.,70-30 (Net 0),70%,100%,30%,0
,E-CN-00011,Yangjiang Jiangcheng EGO Houseware Limited,E-CN-00011 Yangjiang Jiangcheng EGO Houseware Limited,30-70 (Net 0),30%,100%,70%,0
,E-CN-00012 ,7 Easy Houseware Ltd,E-CN-00012 7 Easy Houseware Ltd,Net 30,0%,0%,0%,30
,E-CN-00013 ,"East West Packaging Solutions Co., Limited","E-CN-00013 East West Packaging Solutions Co., Limited",50/50 (Net 0),50%,100%,50%,0
,E-HK-00001,East West Source Bridge Ltd.,E-HK-00001 East West Source Bridge Ltd.,30/70 (Net 30),30%,30%,0%,30
,F-AT-00001,Freeeway AG,F-AT-00001 Freeeway AG,,,,0%,
,F-CN-00004 ,"Fungho Industries (Group) Co., Limited","F-CN-00004 Fungho Industries (Group) Co., Limited",30-70 (Net 0),30%,100%,70%,0
,F-CN-00020 ,"Foshan Nanhai Zhongde Knitting Socks Co.,Ltd.","F-CN-00020 Foshan Nanhai Zhongde Knitting Socks Co.,Ltd.",30-70 (Net 0),30%,100%,70%,0
,F-CN-00022 ,"Fullwin Household Products Co., Limited","F-CN-00022 Fullwin Household Products Co., Limited",30-70 (Net 0),30%,100%,70%,0
,F-CN-00025 ,"Fuzhou Riversuny Waterproof Garments & Bag Mfg.,LTD","F-CN-00025 Fuzhou Riversuny Waterproof Garments & Bag Mfg.,LTD",30-70 (Net 0),30%,100%,70%,0
,G-CN-00004,"DongGuan Panther Sporting Goods Co.,Ltd.","G-CN-00004 DongGuan Panther Sporting Goods Co.,Ltd.",30/70 (Net 30),30%,30%,0%,30
,G-CN-00015 ,"Guangzhou Perfect Link Cosmetic Co., Ltd","G-CN-00015 Guangzhou Perfect Link Cosmetic Co., Ltd",30-70 (Net 30),30%,30%,0%,30
,G-CN-00018 ,"Guangzhou Idealpak Co., Ltd","G-CN-00018 Guangzhou Idealpak Co., Ltd",PIA 50-50,50%,100%,50%,0
,G-CN-00022 ,Guangzhou S-up kids Co ltd,G-CN-00022 Guangzhou S-up kids Co ltd,30-70 (Net 0),30%,100%,70%,0
,G-CN-00023 ,"Guangdong Jinda Hardware Product Co., LTD","G-CN-00023 Guangdong Jinda Hardware Product Co., LTD",20-80 (0),20%,100%,80%,0
,G-MX-00001,Guala Dispensing Mexico SA DE CV,G-MX-00001 Guala Dispensing Mexico SA DE CV,100% Prepay,100%,100%,0%,0
,G-US-00013,GLH Chemical,G-US-00013 GLH Chemical,NET 30,0%,0%,0%,30
,H-CN-00002,"Hangzhou Yingmaode Housewares Co., Ltd","H-CN-00002 Hangzhou Yingmaode Housewares Co., Ltd",Net 30,0%,0%,0%,30
,H-CN-00013 ,"HEALTH CARE CO., LTD.","H-CN-00013 HEALTH CARE CO., LTD.",30-70 (Net 0),30%,100%,70%,0
,H-CN-00017,"Hzsamko Technologies Co., Ltd.","H-CN-00017 Hzsamko Technologies Co., Ltd.",Net 30,0%,0%,0%,30
,H-CN-00018 ,ADF Accessories,H-CN-00018 ADF Accessories,30-70 (Net 0),30%,100%,70%,0
,H-CN-00025,"Hangzhou Zhongzhi Industry CO.,LTD","H-CN-00025 Hangzhou Zhongzhi Industry CO.,LTD",30-70 (Net 0),30%,100%,70%,0
,H-CN-00046,Hangzhou Rich Home,H-CN-00046 Hangzhou Rich Home,30-70 (Net 0),30%,100%,70%,0
,H-CN-00049,"Hangzhou Huayi Home textile Co.,Ltd","H-CN-00049 Hangzhou Huayi Home textile Co.,Ltd",Net 30,0%,0%,0%,30
,H-CN-00056 ,"Hangzhou EasyPlus Technology Co., Ltd.","H-CN-00056 Hangzhou EasyPlus Technology Co., Ltd.",10-90 (Net 0),10%,100%,90%,0
,H-CN-00060 ,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd","H-CN-00060 Hangzhou Jinhong Sanniao Down Products CO.,Ltd",30-70 (Net 60),30%,30%,0%,60
,H-CN-00066,Hebei Hodaf Medical Devices,H-CN-00066 Hebei Hodaf Medical Devices,30/70,30%,100%,70%,0
,H-CN-00067,"Hangzhou Kanluck Trading Co., Ltd.","H-CN-00067 Hangzhou Kanluck Trading Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,H-CN-00071 ,Hongkong Amgo Enterprises,H-CN-00071 Hongkong Amgo Enterprises,30-70 (Net 0),30%,100%,70%,0
